ticker,total_assets,total_revenue,net_income,long_term_debt,stockholders_equity,operating_income,cash_and_equivalents,public_float,employee_count,debt_to_assets,profit_margin,return_on_equity,log_total_assets,log_total_revenue,log_long_term_debt,log_cash_and_equivalents,log_public_float,log_stockholders_equity,log_employee_count
AESE,61900495.0,3210805.0,-45058830.0,,44220826.0,-31725978.0,424223.0,48017960.0,,,-14.033499387225323,-1.0189504375155725,17.94103875054679,14.982032553930974,,12.958016896598576,17.687085686381483,17.604706435163518,
AEYE,18254000.0,20475000.0,-7158000.0,,1566000.0,-7133000.0,9095000.0,118178850.0,,,-0.3495970695970696,-4.57088122605364,16.71989484684147,16.834715236543456,,16.023235479884875,18.58770972137727,14.264035794102286,
AFBI,850628000.0,30632000.0,3088000.0,,77167000.0,,178253000.0,89100000.0,,,0.10080961086445547,0.040017105757642515,20.561485459357904,17.237555804784865,,18.998714453021584,18.30526990366438,18.161482475426457,
AFCG,93961692.0,,4313632.0,,0.0,,9623820.0,248018374.0,,,,,18.358397735898322,,,16.079751937128687,19.32901339412646,0.0,
AFIB,192535000.0,8464000.0,-101981000.0,,,-91333000.0,25234000.0,304100000.0,,,-12.048794896030246,,19.075788518540868,15.951332551227658,,17.043702889098896,19.532867155935985,,
AFL,165086000000.0,22307000000.0,3304000000.0,,23462000000.0,4461000000.0,5141000000.0,35892975941.0,,,0.14811494149818444,0.1408234592106385,25.829732387190404,23.828166367545887,,22.36051345021429,24.30380745708577,23.87864792807256,
AFRM,1402251000.0,264367000.0,-120455000.0,,-169272000.0,-127441000.0,267059000.0,0.0,,,-0.455635536961875,0.7116061723143816,21.061344640205203,19.39284885104231,,19.402980169480674,0.0,-18.947017452445913,
AGEN,214514000.0,150048000.0,,,-203672000.0,-70137000.0,61808000.0,1230000000.0,,,,,19.183885566929447,18.826465807535985,,17.939543380067335,20.930280007143747,-19.13202141961413,
AGFS,785783000.0,170065000.0,-53591000.0,,272393000.0,-40755000.0,29288000.0,44500000.0,,,-0.31512068914826685,-0.19674147279849336,20.482191232123668,18.951691280757558,,17.192688467925887,17.61099976960838,19.42275643807694,
AGFY,21839000.0,12087000.0,-21617000.0,,-6679000.0,-12616000.0,,226200793.0,,,-1.7884504012575495,3.236562359634676,16.89920796603655,16.307641135575107,,,19.236933631808128,-15.714478983430775,
AGIL,220282000.0,163987000.0,-26177000.0,137343000.0,18335000.0,-11223000.0,9256000.0,80500000.0,,0.6234871664502774,-0.15962850713776092,-1.4277065721298063,19.210419106210523,18.915297720451935,18.737992011799104,16.040782655893672,18.203767754811153,16.72432241402806,
AGIO,852952000.0,,-411472000.0,,687537000.0,-316269000.0,127436000.0,3267590001.0,,,,-0.5984725185699097,20.564213833063782,,,18.66312484360103,21.907318547689272,20.34862620569314,
AGLE,161618000.0,0.0,-78254000.0,,67428000.0,-80334000.0,90095000.0,337400000.0,,,,-1.160556445393605,18.900746090174337,0.0,,18.316375238242447,19.636779731039983,18.026570934712968,
AGNC,81817000000.0,,688000000.0,,9906000000.0,,1017000000.0,7300000000.0,,,,0.06945285685443166,25.127750882935807,,,20.740122954996117,22.711140185237742,23.016406471213408,
AGRI,3365889.0,,-3221526.0,,2994702.0,-3345371.0,,0.0,,,,-1.0757417599480683,15.029202973460333,,,,0.0,14.912355619339026,
AGRX,73062000.0,749000.0,-18606000.0,16381000.0,20174000.0,-18858000.0,14463000.0,101200000.0,,0.22420683802797625,-24.8411214953271,-0.9222761970853574,18.106818967404205,13.52649559761195,16.611632745633102,16.487104291197817,18.43260932469906,16.81990525416567,
AGTC,100319000.0,2453000.0,-11577000.0,9677000.0,78709000.0,-11990000.0,38463000.0,105400000.0,,0.09646228530986155,-4.719527109661639,-0.14708610197054975,18.42386567666533,14.712822730904628,16.085262597200884,17.46520732420196,18.473273203559202,18.18126807787699,
AGYS,154562000.0,140842000.0,-13164000.0,,108431000.0,-13081000.0,46653000.0,473711377.0,,,-0.09346643756833899,-0.12140439542197343,18.85610587477325,18.763149259761672,,17.65824781330643,19.976108787027094,18.50162459316818,
AHCO,1813472000.0,529644000.0,-21341000.0,784714000.0,354889000.0,29378000.0,,2170000000.0,,0.43271360131284076,-0.040293102536798305,-0.06013429551211787,21.31850907736209,20.087715642595047,20.4808298794261,,21.497993004959607,19.687315625307782,
AHPI,19672359.0,31381521.0,-2109685.0,,13996940.0,-2774022.0,136112.0,15968116.0,189.0,,-0.0672269836761577,-0.15072472983380653,16.79472516283272,17.261729806323686,,11.821240702079473,16.586104604660846,16.45434936370493,5.247024072160486
AIG,586481000000.0,49746000000.0,3348000000.0,37534000000.0,66362000000.0,,,40695000000.0,,0.06399866321330103,0.06730189361958751,0.05045055905488081,27.097406108949976,24.63019589532865,24.348513025842134,,24.42937107174999,24.9183904404673,
AIHS,15630718.0,15768015.0,-8673325.0,,2803697.0,-5596938.0,833888.0,19190883.0,,,-0.5500581398482941,-3.093531505009279,16.564748702619223,16.573494142527522,,13.633855578957975,16.76994593258209,14.846449818055175,
AIKI,30495000.0,,-12337000.0,,10532000.0,-6546000.0,2715000.0,85897788.0,,,,-1.1713824534751234,17.233073326504954,,,14.81430287967423,18.26866864739156,16.16992889454706,
AIMC,4208100000.0,1834100000.0,127200000.0,1414200000.0,1848200000.0,224100000.0,254400000.0,4000000000.0,,0.33606615812361873,0.0693528160950875,0.06882372037658262,22.160277076595648,21.329819735466486,21.069829837841528,19.35441839336106,22.109560198316302,21.337478029959282,
AIP,42736000.0,31812000.0,-3260000.0,,-9430000.0,-3777000.0,11744000.0,0.0,,,-0.10247705268452156,0.3457051961823966,17.570552237731356,17.27535416649384,,16.278853114986294,0.0,-16.059406760654173,
AIRG,54927000.0,48502000.0,-3279000.0,,47904000.0,-3184000.0,38173000.0,210000000.0,,,-0.06760545956867758,-0.06844939879759519,17.821515607068832,17.697115612788593,,17.45763904358528,19.162618093443648,17.684709587076576,
AIRS,179610000.0,41236000.0,-2212000.0,32519000.0,83528000.0,663000.0,10379000.0,0.0,,0.18105339346361563,-0.05364244834610535,-0.02648213772627143,19.006298397137265,17.534822243449067,17.297335122614832,16.155295188295817,0.0,18.240692474924117,
AIRT,,,,,,,,,,,,,,,,,,,
AIZ,44649900000.0,9569100000.0,382600000.0,,5951400000.0,,2207600000.0,9220000000.0,,,0.03998286150212663,0.06428739456262392,24.52211790464715,22.981804994206225,,21.515171789982602,22.944640874623374,22.506892323112304,
AJG,,,,,,,,,,,,,,,,,,,
AKAM,7764130000.0,2893617000.0,478035000.0,,3191860000.0,548918000.0,393745000.0,18726500000.0,,,0.16520327327355347,0.14976690706985896,22.772780246188212,21.785773113965053,,19.791214052150508,23.653205470003794,21.883869656236286,
AKBA,644139000.0,335001000.0,-279659000.0,97543000.0,635928000.0,-286288000.0,147449000.0,632302577.0,,0.15143160094327465,-0.8348004931328563,-0.43976519354392324,20.283425100840624,19.629644077844578,18.395803874637767,18.808992918024583,20.264878600199083,20.270595908921273,
AKRO,273339000.0,,-43755000.0,,-49919000.0,-45651000.0,187242000.0,768216344.0,,,,0.8765199623389892,19.426223344705342,,,19.047912461158095,20.459581950660922,-17.725912269805974,
AKTS,71433000.0,1790000.0,-36140000.0,,25955000.0,-32038000.0,44308000.0,470900000.0,,,-20.189944134078214,-1.392409940281256,18.084270519408363,14.397726736475999,,17.606675828188248,19.970156317337377,17.071874865771687,
