ticker,business_word_count,business_sentence_count_full,business_avg_sentence_length,business_fk_grade,business_quant_density,risk_factors_word_count,risk_factors_sentence_count_full,risk_factors_avg_sentence_length,risk_factors_fk_grade,risk_factors_quant_density,mda_word_count,mda_sentence_count_full,mda_avg_sentence_length,mda_fk_grade,mda_quant_density,business_is_long,risk_factors_is_long,mda_is_long,mda_is_quantitative,total_word_count,mean_fk_grade
MPWR,3237,120,180.3,17.26748151280842,20.080321285140563,18416,598,202.08026755852842,17.602451106349204,9.448305821025196,5420,158,222.14556962025316,12.955232866198799,83.02583025830258,0,1,0,1,27073,15.94172182845214
MRK,8405,172,351.52906976744185,18.902462927401235,31.647828673408686,10252,211,336.33649289099526,16.655223913845557,7.60827155676941,20416,565,247.13451327433629,15.213083783829124,62.010188087774296,1,0,1,0,39073,16.923590208358636
MRNA,36064,1015,243.22364532019705,17.558344645259044,33.24645075421473,32181,850,255.2564705882353,22.022678821417504,6.649886579037321,8070,193,287.8134715025907,18.14568086883877,72.4907063197026,1,1,0,1,76315,19.242234778505107
MRO,693,23,205.2173913043478,16.309931982633866,27.417027417027416,16511,494,224.6902834008097,15.014167550436543,30.403973108836535,12101,374,217.6283422459893,15.042572242572245,38.26130071894885,0,1,1,0,29305,15.455557258547552
MSCI,8764,323,186.00928792569658,17.074245725078985,20.1962574167047,13239,351,246.74928774928776,22.21438247011952,6.118286879673692,14231,324,283.77777777777777,14.110199346405228,131.8951584568899,1,1,1,1,36234,17.799609180534578
MSFT,10850,419,177.41766109785203,16.432266649451424,17.6036866359447,10129,376,181.3962765957447,16.899400606703946,4.14651002073255,8427,263,210.29657794676805,14.621165018163179,62.77441556900438,1,0,0,0,29406,15.98427742477285
MSI,6431,114,381.6842105263158,14.700753901362557,132.79427771730678,70890,1561,319.30813581037796,17.534110836572413,72.45027507405841,28204,661,290.76550680786687,17.16996645482178,49.354701460785705,0,1,1,0,105525,16.46827706425225
MTB,12842,365,237.56164383561645,17.38784313874724,60.73820277215387,16118,425,253.66588235294117,19.571614822886747,7.3210075691773175,34853,948,236.5379746835443,11.06444900835599,151.86641035205002,1,1,1,1,63813,16.00796898999666
MTCH,6669,156,285.1474358974359,17.86902012243313,14.844804318488528,9058,159,374.8490566037736,19.757060716541684,6.182380216383307,11058,216,350.5787037037037,14.114550535049169,93.41653101826732,0,0,1,1,26785,17.24687712467466
MTD,5152,179,203.83240223463687,16.448597266062517,20.18633540372671,7901,224,236.78571428571428,16.017118609658393,10.251866852297177,21814,674,221.85014836795253,17.19013470268455,43.55001375263593,0,0,1,0,34867,16.551950192801822
MU,6745,197,236.85786802030458,16.726161803796476,25.35211267605634,22311,609,250.183908045977,16.489716457176268,19.721213751064496,5011,118,280.72033898305085,15.741971118291616,79.82438635002994,1,1,0,1,34067,16.319283126421453
NCLH,1871,64,190.8125,15.195770465489566,44.89577765900588,25275,706,237.8456090651558,16.496271021579748,21.008902077151337,10490,244,288.25409836065575,14.630466913239385,79.02764537654909,0,1,1,1,37636,15.440836133436234
NDAQ,4699,159,207.26415094339623,16.118898085716502,17.23771015109598,26415,698,259.8595988538682,16.262734210084364,9.388604959303427,27018,716,258.72486033519556,16.010949435567095,14.249759419646162,0,1,1,0,58132,16.130860577122657
NEE,9479,256,249.77734375,16.533628121845762,46.20740584449837,20135,415,328.9349397590361,16.567460912944032,21.85249565433325,33903,729,316.75308641975306,16.258017184696488,43.56546618293366,1,1,1,0,63517,16.453035406495427
NI,4583,154,210.0194805194805,15.670325038699513,41.675758236962686,14109,344,280.76453488372096,18.71875910702398,5.244879155149196,11276,309,258.49514563106794,14.597931722789607,85.75736076622916,0,1,1,1,29968,16.329005289504366
NLOK,4892,142,234.64788732394365,16.748642118055383,11.856091578086671,14058,331,287.27190332326285,17.677777063085767,6.828851899274435,6752,138,327.2391304347826,16.518037758937158,94.93483412322274,0,1,0,1,25702,16.98148564669277
NLSN,8309,310,181.82258064516128,16.168657063259268,16.367793958358405,19617,656,198.8841463414634,16.085022405177494,13.406739052862312,3964,144,179.79166666666666,15.64013645338937,24.217961654894044,1,1,0,0,31890,15.964605307275377
